geo;pop
Austria;9130429
Belgium;11712893
Bulgaria;6445481
Cyprus;966400
Czechia;10880000
Germany;84700000
Denmark;5948136
Estonia;1365884
Greece;10242908
Spain;48100000
Finland;5601185
France;68000000
Croatia;3859686
Hungary;9686463
Ireland;5300000
Iceland;387758
Italy;59499453
Lithuania;2857000
Luxembourg;665098
Latvia;1900000
Malta;532956
Netherlands;17800000
Poland;36750000
Portugal;10637000
Romania;19052000
Sweden;10540942
Slovenia;2110000
Slovakia;5430000
